no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	CIG_distance_parent_CV	Exp_child_median	EXP	CIG_distance	label
164.0	116.0	0.0	2.912	0.621	0.0	6.8	4.67	0
2179.0	334.0	0.0	1.219	1.432	0.0	0.254	-0.855	0
2363.0	1936.0	0.0	1.652	1.015	0.0	1.147	1.198	0
681.0	553.0	0.0	1.804	1.205	0.0	3.561	2.89	0
727.0	154.0	0.0	1.915	0.991	0.0	-0.25	2.329	0
1867.0	1466.0	0.0	2.458	0.912	0.0	1.387	4.346	0
805.0	857.0	0.0	2.617	0.945	0.0	0.75	2.846	0
1613.0	431.0	0.0	1.077	1.774	0.0	3.1	1.572	0
21.0	405.0	0.0	1.888	1.148	0.0	-0.104	0.451	0
1981.0	127.0	0.0	2.309	0.838	0.0	-0.621	5.185	0
1130.0	778.0	0.0	1.703	1.058	0.0	3.611	3.003	0
1810.0	443.0	0.0	1.474	1.165	0.0	-0.403	3.071	0
786.0	417.0	0.0	0.733	5.09	0.0	-5.49	-0.123	0
1710.0	256.0	0.0	1.43	1.201	0.0	2.91	4.18	0
16.0	299.0	0.0	1.125	1.311	0.0	0.418	-1.16	0
1893.0	783.0	0.0	2.648	0.828	0.0	-4.484	3.804	0
1872.0	525.0	0.0	1.697	1.107	0.0	1.551	2.838	0
1575.0	586.0	0.0	0.945	2.033	0.0	2.789	-0.792	0
21.0	403.0	0.0	0.817	2.867	0.0	0.09	0.156	0
2027.0	688.0	0.0	1.581	1.026	0.0	2.794	2.042	0
2741.0	937.0	0.0	2.093	0.931	0.0	0.906	1.076	0
0.0	118.0	0.0	0.0	0.0	0.0	-4.057	-1.683	0
54.0	403.0	0.0	0.485	4.37	0.0	2.949	-2.018	0
3.0	50.0	0.0	1.857	1.688	0.0	0.0	-2.76	0
1964.0	571.0	0.0	1.627	0.959	0.0	2.191	0.875	0
1478.0	314.0	0.0	1.403	1.3	0.0	-0.264	0.273	0
1062.0	627.0	0.0	1.248	1.727	0.0	0.681	3.321	0
2959.0	1064.0	0.0	1.448	1.197	0.0	1.144	0.198	0
55.0	623.0	0.0	1.033	2.21	0.0	-0.422	-0.231	0
670.0	472.0	0.0	1.559	1.875	0.0	-2.006	1.576	0
2111.0	290.0	0.0	1.003	2.348	0.0	-1.215	3.686	0
1218.0	1502.0	0.0	2.418	0.949	0.0	-1.67	2.52	0
1415.0	359.0	0.0	1.455	1.209	0.0	-0.011	2.847	0
2224.0	259.0	0.0	2.663	0.753	0.0	-0.24	8.722	0
1151.0	503.0	0.0	1.504	1.52	0.0	-2.681	1.013	0
37.0	263.0	0.0	2.032	0.809	0.0	5.848	2.574	0
1106.0	562.0	0.0	1.787	1.499	0.0	-5.53	3.421	0
1031.0	170.0	0.0	1.356	1.532	0.0	0.048	4.327	0
2623.0	328.0	0.0	1.427	1.245	0.0	2.709	3.571	0
1850.0	666.0	0.0	2.173	0.908	0.0	-2.461	-1.104	0
1562.0	681.0	0.0	1.601	1.401	0.0	-2.02	3.982	0
41.0	1049.0	0.0	0.915	1.636	0.0	0.854	-0.344	0
2648.0	242.0	0.0	1.84	1.071	0.0	0.426	2.662	0
1829.0	189.0	0.0	2.296	0.829	0.0	2.535	3.52	0
790.0	89.0	0.0	0.122	25.499	0.0	-5.163	1.35	0
1051.0	421.0	0.0	1.033	2.23	0.0	-1.261	-0.981	0
2142.0	655.0	0.0	2.309	0.761	0.0	2.969	3.948	0
850.0	744.0	0.0	2.551	0.773	0.0	-2.845	-0.85	0
76.0	57.0	0.0	1.907	1.024	0.0	1.579	-0.09	0
26.0	222.0	0.0	-0.208	-11.022	0.0	-7.534	-9.157	0
979.0	612.0	0.0	1.91	0.793	0.0	7.681	4.559	0
1395.0	877.0	0.0	1.344	1.714	0.0	-2.492	2.388	0
17.0	236.0	0.0	1.571	1.304	0.0	-2.428	0.253	0
1160.0	448.0	0.0	0.791	3.561	0.0	0.969	2.545	0
2359.0	249.0	0.0	0.982	2.574	0.0	0.437	2.28	0
1837.0	4178.0	0.0	1.778	0.964	0.0	2.323	3.932	0
1990.0	186.0	0.0	2.111	0.86	0.0	4.979	1.648	0
2118.0	552.0	0.0	1.818	0.99	0.0	-0.38	6.801	0
54.0	176.0	0.0	2.545	0.507	0.0	2.885	2.963	0
2497.0	292.0	0.0	1.677	1.039	0.0	4.205	2.859	0
2135.0	267.0	0.0	1.304	1.656	0.0	3.806	5.096	0
1574.0	346.0	0.0	1.497	1.224	0.0	-0.98	0.369	0
0.0	196.0	0.0	0.0	0.0	0.0	1.021	-1.27	0
1836.0	262.0	0.0	1.581	1.081	0.0	3.203	0.618	0
46.0	204.0	0.0	1.256	1.64	0.0	-0.485	1.11	0
1605.0	238.0	0.0	1.531	1.512	0.0	0.422	6.386	0
33.0	549.0	0.0	0.403	5.506	0.0	0.201	0.281	0
670.0	534.0	0.0	1.009	3.144	0.0	-3.539	1.465	0
568.0	38.0	0.0	1.332	2.593	0.0	0.0	-1.4	0
1350.0	386.0	0.0	-0.557	-6.435	0.0	-5.816	1.202	0
665.0	400.0	0.0	1.324	1.902	0.0	-4.835	1.251	0
2576.0	551.0	0.0	2.236	0.973	0.0	-1.036	3.882	0
8.0	180.0	0.0	2.942	0.43	0.0	-0.364	4.662	0
1114.0	159.0	0.0	1.579	1.437	0.0	-3.229	5.346	0
1447.0	70.0	0.0	1.238	1.865	0.0	7.842	4.461	0
512.0	455.0	0.0	-0.565	-8.784	0.0	-2.869	0.054	0
1351.0	87.0	0.0	-2.645	-1.413	0.0	-5.556	2.402	0
3.0	188.0	0.0	-4.27	-1.292	0.0	-1.982	-1.925	0
1144.0	50.0	0.0	2.852	0.909	0.0	-5.013	2.212	0
11.0	209.0	0.0	1.869	0.849	0.0	-4.715	-0.076	0
1604.0	275.0	0.0	1.423	1.294	0.0	1.04	4.241	0
1666.0	5129.0	0.0	1.581	1.332	0.0	1.795	1.589	0
1956.0	704.0	0.0	2.426	0.84	0.0	-2.718	2.605	0
1097.0	739.0	0.0	1.894	0.974	0.0	-1.13	2.276	0
1.0	560.0	0.0	5.881	0.0	0.0	-3.669	1.145	0
790.0	198.0	0.0	-3.652	-1.237	0.0	-2.932	-0.579	0
2542.0	6389.0	0.0	1.193	1.57	0.0	4.012	1.573	0
1840.0	2207.0	0.0	1.781	1.092	0.0	9.46	4.627	0
714.0	573.0	0.0	1.189	2.304	0.0	-3.57	1.506	0
1546.0	432.0	0.0	2.121	0.844	0.0	7.447	5.388	0
1512.0	772.0	0.0	1.59	0.973	0.0	4.256	1.909	0
