no_of_parent_edges	no_of_children_edges	Exp_parent_mean	CIG_distance_parent_mean	Exp_parent_median	Exp_child_mean	Exp_child_CV	EXP	CIG_distance	label
23.0	3048.0	2.167514400632957	2.0635033717650484	3.385440184528967	0.0	0.0	6.4095845	7.20175708133029	1
372.0	5862.0	0.0	1.110362586373781	1.5027202309957546	0.0	0.0	2.3564136	2.9545129617702206	1
225.0	5476.0	0.0	1.1997449990174285	2.300030992745894	0.0	0.0	6.230581	4.913169061961102	1
13.0	565.0	5.234852523573561	3.567368875208705	5.434781406692859	0.0	0.0	6.222244	1.900202338215762	1
89.0	1845.0	0.0	2.309682471439718	2.945630393467629	0.0	0.0	11.346838	4.743994356242295	1
400.0	3040.0	0.0	2.2804906859007628	2.1832884262869987	0.0	0.0	10.15284	11.213074253060157	1
177.0	1360.0	0.0	1.1625582941806083	-0.5147164080601108	0.0	0.0	-3.5991826	2.231723445361239	1
219.0	2401.0	0.0840748559987276	2.233132502074755	1.6858133790427925	3.9174596975538014	0.8911953107599864	1.6506201	5.570346372069799	1
372.0	5862.0	1.1266289471261008	1.9366641305405723	2.2085597398382584	2.5507741362629592	1.614673437473521	5.655762	5.215521344764052	1
209.0	6634.0	0.4446784823051472	2.2443036348838774	1.9592475029191607	2.5398072557679856	1.5669994878092612	6.651756	7.148658997829672	1
116.0	782.0	0.6967803698788363	2.445309022308057	2.38016989098876	2.2743072562329414	1.9356484678929733	3.5040665	9.519804909415734	1
35.0	0.0	0.2066137802387821	2.334842176632693	0.7873474913779468	0.0	0.0	2.9038503	3.972390195080684	1
39.0	430.0	4.258882495881129	4.434237072649615	4.309979182285091	3.846923596024992	0.8843443480280326	11.270733	8.878570438009252	1
72.0	1230.0	2.3489677325915284	3.770232174283581	2.4353844563285074	2.495676919709494	1.55174129262893	7.646191	10.315035098023245	1
95.0	1156.0	2.622531860819231	3.2058367811168047	3.807063558691093	3.0270112980086203	1.1778694208799414	9.091348	7.385431112951195	1
